Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x780009868  java.lang.String list()[],24,72,
"java.lang.String @ 0x7800098b0  void bind(java.lang.String, java.rmi.Remote)",24,88,
java.lang.String @ 0x780009de0  java.util.logging.ConsoleHandler.level,24,80,
java.lang.String @ 0x780009e30  INFO,24,48,
java.lang.String @ 0x780009e80  java.util.logging.ConsoleHandler.formatter,24,88,
java.lang.String @ 0x780009ed8  java.util.logging.SimpleFormatter,24,80,
java.lang.String @ 0x780009f48  java.util.logging.FileHandler.maxLocks,24,80,
java.lang.String @ 0x780009f98  100,24,48,
java.lang.String @ 0x780009fe8  handlers,24,48,
java.lang.String @ 0x78000a018  java.util.logging.ConsoleHandler,24,72,
java.lang.String @ 0x78000a080  .level,24,48,
java.lang.String @ 0x78000a0b0  INFO,24,48,
java.lang.String @ 0x78000a100  java.util.logging.FileHandler.limit,24,80,
java.lang.String @ 0x78000a150  50000,24,48,
java.lang.String @ 0x78000a1a0  java.util.logging.FileHandler.count,24,80,
java.lang.String @ 0x78000a1f0  1,24,48,
java.lang.String @ 0x78000a240  java.util.logging.FileHandler.formatter,24,80,
java.lang.String @ 0x78000a290  java.util.logging.XMLFormatter,24,72,
java.lang.String @ 0x78000a2f8  java.util.logging.FileHandler.pattern,24,80,
java.lang.String @ 0x78000a348  %h/java%u.log,24,56,
java.lang.String @ 0x78000a498  sun.rmi.client.ref,24,64,
java.lang.String @ 0x78000a908  sun.rmi.dgc,24,56,
java.lang.String @ 0x78000ab38  sun.rmi.transport.misc,24,64,
java.lang.String @ 0x78000ac60  sun.rmi.server.call,24,64,
java.lang.String @ 0x78000ad88  sun.rmi.client.call,24,64,
java.lang.String @ 0x78000ae68  sun.rmi.server.ref,24,64,
java.lang.String @ 0x78000af90  java.io.serialization,24,64,
java.lang.String @ 0x78000b1f8  javax.management.remote.misc,24,72,
java.lang.String @ 0x78000b450  javax.management.misc,24,64,
java.lang.String @ 0x78000b598  javax.management.mbeanserver,24,72,
java.lang.String @ 0x78000b7e8  ref,24,48,
java.lang.String @ 0x78000b838  call,24,48,
java.lang.String @ 0x78000b978  transport,24,56,
java.lang.String @ 0x78000ba70  misc,24,48,
java.lang.String @ 0x78000bb10  tcp,24,48,
java.lang.String @ 0x78000bbb0  client,24,48,
java.lang.String @ 0x78000bc00  runtime,24,48,
java.lang.String @ 0x78000bca0  server,24,48,
java.lang.String @ 0x78000bd90  ref,24,48,
java.lang.String @ 0x78000be30  call,24,48,
java.lang.String @ 0x78000bed0  dgc,24,48,
java.lang.String @ 0x78000c010  rmi,24,48,
java.lang.String @ 0x78000c060  management,24,56,
java.lang.String @ 0x78000c158  jmxremote,24,56,
java.lang.String @ 0x78000c2a0  sun,24,48,
java.lang.String @ 0x78000c360  javax,24,48,
java.lang.String @ 0x78000c450  management,24,56,
java.lang.String @ 0x78000c548  misc,24,48,
java.lang.String @ 0x78000c5e8  mbeanserver,24,56,
java.lang.String @ 0x78000c690  remote,24,48,
java.lang.String @ 0x78000c780  misc,24,48,
java.lang.String @ 0x78000c820  rmi,24,48,
java.lang.String @ 0x78000c8c0  java,24,48,
java.lang.String @ 0x78000c9b0  io,24,48,
java.lang.String @ 0x78000caa0  serialization,24,56,
java.lang.String @ 0x78000cf68  ref,24,48,
java.lang.String @ 0x78000cfb8  call,24,48,
java.lang.String @ 0x78000d0f8  transport,24,56,
java.lang.String @ 0x78000d1f0  misc,24,48,
java.lang.String @ 0x78000d290  tcp,24,48,
java.lang.String @ 0x78000d330  client,24,48,
java.lang.String @ 0x78000d380  runtime,24,48,
java.lang.String @ 0x78000d420  server,24,48,
java.lang.String @ 0x78000d510  ref,24,48,
java.lang.String @ 0x78000d5b0  call,24,48,
java.lang.String @ 0x78000d650  dgc,24,48,
java.lang.String @ 0x78000d790  rmi,24,48,
java.lang.String @ 0x78000d7e0  management,24,56,
java.lang.String @ 0x78000d8d8  jmxremote,24,56,
java.lang.String @ 0x78000da20  sun,24,48,
java.lang.String @ 0x78000dae0  javax,24,48,
java.lang.String @ 0x78000dbd0  management,24,56,
java.lang.String @ 0x78000dcc8  misc,24,48,
java.lang.String @ 0x78000dd68  mbeanserver,24,56,
java.lang.String @ 0x78000de10  remote,24,48,
java.lang.String @ 0x78000df00  misc,24,48,
java.lang.String @ 0x78000dfa0  rmi,24,48,
java.lang.String @ 0x78000e040  java,24,48,
java.lang.String @ 0x78000e130  io,24,48,
java.lang.String @ 0x78000e220  serialization,24,56,
java.lang.String @ 0x78000eb98  UnicastRef2,24,56,
java.lang.String @ 0x78000eda8  ()Ljava/io/ObjectInputFilter;,24,72,
java.lang.String @ 0x78000eff0  (Ljava/io/ObjectInputFilter$FilterInfo;)Ljava/io/ObjectInputFilter$Status;,24,120,
java.lang.String @ 0x78000f098  singleRegistryFilter,24,64,
java.lang.String @ 0x78000f1a8  initRegistryFilter,24,64,
java.lang.String @ 0x78000f200  sun.rmi.registry.registryFilter,24,72,
java.lang.String @ 0x78000f5c8  bind,24,48,
java.lang.String @ 0x78000f840  rebind,24,48,
java.lang.String @ 0x78000f8f8  lookup,24,48,
java.lang.String @ 0x78000f9b8  list,24,48,
java.lang.String @ 0x78000fa58  unbind,24,48,
java.lang.String @ 0x78001fa78  /Users/sameervhatkar/.m2/repository/org/apache/tomcat/embed/tomcat-embed-websocket/10.1.55/tomcat-embed-websocket-10.1.55.jar,24,168,
java.lang.String @ 0x780020968  /Users/sameervhatkar/.m2/repository/org/apache/tomcat/embed/tomcat-embed-el/10.1.55/tomcat-embed-el-10.1.55.jar,24,152,
java.lang.String @ 0x7800227b0  /Users/sameervhatkar/.m2/repository/org/springframework/boot/spring-boot-starter-tomcat/3.5.16/spring-boot-starter-tomcat-3.5.16.jar,24,176,
java.lang.String @ 0x780022d98  /Users/sameervhatkar/.m2/repository/com/fasterxml/jackson/module/jackson-module-parameter-names/2.21.4/jackson-module-parameter-names-2.21.4.jar,24,184,
java.lang.String @ 0x7800552d8  RMI Runtime,24,56,
java.lang.String @ 0x780055580  (Ljava/net/SocketPermission;)V,24,72,
java.lang.String @ 0x7800556c0  (Ljava/net/SocketPermission;Ljava/net/SocketPermission;Ljava/net/SocketPermission;)Ljava/net/SocketPermission;,24,152,
java.lang.String @ 0x780055788  lambda$add$0,24,56,
"java.lang.String @ 0x7800558e0  java.rmi.dgc.Lease dirty(java.rmi.server.ObjID[], long, java.rmi.dgc.Lease)",24,120,
"java.lang.String @ 0x780055958  void clean(java.rmi.server.ObjID[], long, java.rmi.dgc.VMID, boolean)",24,112,
java.lang.String @ 0x780056018  sun.rmi.transport.dgcFilter,24,72,
java.lang.String @ 0x780056270  java.util.concurrent.ScheduledThreadPoolExecutor@5e853265,24,104,
java.lang.String @ 0x7800564e0  checkInput,24,56,
"java.lang.String @ 0x780056530  accept,resolve",24,56,
