Class Name,Shallow Heap,Retained Heap,
java.lang.String @ 0x7800372e0  CurrentThreadCpuTime,24,64,
java.lang.String @ 0x780037388  AllThreadIds,24,56,
java.lang.String @ 0x780037438  [J,24,48,
java.lang.String @ 0x780037468  1-dimension array of long,24,72,
java.lang.String @ 0x7800374b0  [J,24,48,
java.lang.String @ 0x780037500  TotalStartedThreadCount,24,64,
java.lang.String @ 0x7800375a8  ThreadCount,24,56,
java.lang.String @ 0x780037648  ThreadAllocatedMemorySupported,24,72,
java.lang.String @ 0x7800376f8  ThreadAllocatedMemoryEnabled,24,72,
java.lang.String @ 0x7800377a8  CurrentThreadAllocatedBytes,24,72,
java.lang.String @ 0x780037858  TotalThreadAllocatedBytes,24,72,
java.lang.String @ 0x780037968  dumpAllThreads,24,56,
java.lang.String @ 0x7800379e8  [Ljava.lang.management.ThreadInfo;,24,80,
java.lang.String @ 0x780037a68  [Ljavax.management.openmbean.CompositeData;,24,88,
java.lang.String @ 0x780037ac0  1-dimension array of javax.management.openmbean.CompositeData,24,104,
java.lang.String @ 0x780037b28  [Ljavax.management.openmbean.CompositeData;,24,88,
java.lang.String @ 0x780037bb8  java.lang.management.ThreadInfo,24,72,
java.lang.String @ 0x780037c58  lockOwnerName,24,56,
java.lang.String @ 0x780037cb8  inNative,24,48,
java.lang.String @ 0x780037d10  blockedTime,24,56,
java.lang.String @ 0x780037d70  blockedCount,24,56,
java.lang.String @ 0x780037dd0  daemon,24,48,
java.lang.String @ 0x780037e28  lockName,24,48,
java.lang.String @ 0x780037e80  lockInfo,24,48,
java.lang.String @ 0x780037ed8  lockOwnerId,24,56,
java.lang.String @ 0x780037f38  stackTrace,24,56,
java.lang.String @ 0x780037f98  lockedSynchronizers,24,64,
java.lang.String @ 0x780038000  lockedMonitors,24,56,
java.lang.String @ 0x780038060  priority,24,48,
java.lang.String @ 0x7800380b8  threadId,24,48,
java.lang.String @ 0x780038110  suspended,24,56,
java.lang.String @ 0x780038170  threadState,24,56,
java.lang.String @ 0x7800381d0  threadName,24,56,
java.lang.String @ 0x780038230  lambda$static$0,24,56,
java.lang.String @ 0x780038768  ssl.TrustManagerFactory.algorithm,24,80,
java.lang.String @ 0x7800387b8  PKIX,24,48,
java.lang.String @ 0x780038808  security.provider.6,24,64,
