Class Name,Shallow Heap,Retained Heap,
byte[30] @ 0x788835ed8  java.lang.InterruptedException,48,48,
byte[36] @ 0x788835f50  java.lang.instrument.Instrumentation,56,56,
byte[14] @ 0x788835fd0  java.util.List,32,32,
byte[43] @ 0x788836038  java.lang.reflect.InvocationTargetException,64,64,
byte[19] @ 0x7888360c0  java.lang.Exception,40,40,
byte[25] @ 0x788836130  java.io.InputStreamReader,48,48,
byte[34] @ 0x7888361a8  java.lang.IllegalArgumentException,56,56,
byte[14] @ 0x788836228  java.io.Reader,32,32,
byte[27] @ 0x788836290  javax.management.ObjectName,48,48,
byte[13] @ 0x788836308  java.util.Set,32,32,
byte[34] @ 0x7888363a0  sun.instrument.InstrumentationImpl,56,56,
byte[32] @ 0x788836450  java.lang.IllegalAccessException,48,48,
byte[39] @ 0x7888364c8  java.lang.UnsupportedOperationException,56,56,
byte[19] @ 0x788836548  java.io.PrintStream,40,40,
byte[24] @ 0x7888365b8  java.lang.reflect.Method,40,40,
byte[16] @ 0x788836628  java.lang.String,32,32,
byte[23] @ 0x788836690  java.lang.InternalError,40,40,
byte[16] @ 0x788836700  java.lang.Thread,32,32,
byte[25] @ 0x788836768  java.rmi.MarshalledObject,48,48,
byte[19] @ 0x788836810  java.util.ArrayList,40,40,
byte[37] @ 0x788836910  com.intellij.rt.execution.application,56,56,
byte[24] @ 0x788836a50  idea.launcher.main.class,40,40,
byte[28] @ 0x788836a90  idea.launcher.use.21.preview,48,48,
byte[18] @ 0x788836ad8  idea.launcher.port,40,40,
byte[37] @ 0x788836b70  com.intellij.rt.execution.application,56,56,
byte[58] @ 0x788836c50  /Applications/IntelliJ%20IDEA.app/Contents/lib/idea_rt.jar,80,80,
byte[65] @ 0x788836cc8  file:///Applications/IntelliJ%20IDEA.app/Contents/lib/idea_rt.jar,88,88,
byte[7] @ 0x788837010  premain,24,24,
byte[0] @ 0x788838e08,16,16,
byte[38] @ 0x788838f28  javax.management.openmbean.TabularData,56,56,
byte[27] @ 0x788838f78  javax.management.ObjectName,48,48,
byte[14] @ 0x788838fc0  java.util.Date,32,32,
byte[20] @ 0x788838ff8  java.math.BigInteger,40,40,
byte[20] @ 0x788839038  java.math.BigDecimal,40,40,
byte[16] @ 0x788839078  java.lang.String,32,32,
byte[16] @ 0x7888390b0  java.lang.Double,32,32,
byte[15] @ 0x7888390e8  java.lang.Float,32,32,
